index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
31,"$1,500,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Continuing support; Fundraising; Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Miami Foundation,"Miami, FL United States","To renew support for Newsmatch, a national matching gifts program for nonprofit newsrooms",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
32,"$1,500,000",2019,,5 years and 4 months,,"Telecommunications infrastructure; Internet and broadband; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Lilly Endowment Inc,"Indianapolis, IN United States",The Christian Century,"Chicago, IL United States",Religion Journalism in a Digital Age project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
33,"$1,500,000",2019,Printing and Publishing,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Network-building and collaboration,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","Journalism Development Network, Inc.","Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
34,"$1,500,000",2019,Civic Engagement and Government,2 years and 7 months,,"Journalism, news and information; Investigative journalism",Adults; Children and youth; Older adults; Young adults,Capacity-building and technical assistance; Program support,Cash grants,The Ford Foundation,"New York City, NY United States",International Media Support,"København K, Denmark","To enhance networking, solidarity and business model development of a regional network of Arab independent investigative journalism outlets",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
35,"$1,500,000",2019,Environment; Field Strengthening,3 years,A New Green: Building the Communications and Convening Infrastructure for an Equitable Environmentalism of the Proposal,"Journalism, news and information; Advocacy journalism",Not Specified,Advocacy; Continuing support; Equal access; Program support; Publications,Cash grants,The Jpb Foundation,"New York City, NY United States","Grist Magazine, Inc.","Seattle, WA United States","To strengthen the field by demonstrating the interrelatedness of environmentalism and other fights for justice, telling the stories that illustrate solutions to the crises at hand, and elevating and empowering the people and organizations that will bring these solutions home.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
36,"$1,500,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,THE SKOLL FUND,"Palo Alto, CA United States","Journalism Development Network, Inc.","Washington, DC United States",Core support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
37,"$1,500,000",2019,,1 year,,"Journalism, news and information; Journalism education",Academics,Program support,Cash grants,TIDES FOUNDATION,"San Francisco, CA United States",The Poynter Institute for Media Studies Inc,"St Petersburg, FL United States",Project support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
38,"$1,450,000",2019,On Nigeria,2 years,,"Media access and policy; Media democracy; Journalism, news and information; Investigative journalism",Not Specified,Data and measurement systems; Ethics and accountability; Program support; Public engagement and education,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Premium Times Centre for Investigative Journalism (PTCIJ),"Zone Wuse, Nigeria",In support of strengthening investigative and data-driven journalism as tools for reducing corruption and enhancing accountability.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
39,"$1,348,917",2019,,1 year,,"Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Not Specified,Ethics and accountability; Network-building and collaboration,Cash grants,Bhp Foundation,"Washington, DC United States",Open Contracting Partnershipd,"New York City, NY United States","The Project will support the adoption of Open Contracting to promote accessible, user-friendly open data along the entire deal flow of public contracts in 15 resource rich countries.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
40,"$1,343,750",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Age groups; Ethnic and racial groups,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",CalMatters,"Sacramento, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
41,"$1,269,000",2019,,3 years,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Lilly Endowment Inc,"Indianapolis, IN United States",The Conversation US,"Waltham, MA United States",Continued support for project to strengthen journalism in religion and philanthropy,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
42,"$1,211,600",2019,,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",MARSHALL PROJECT INC,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
43,"$1,200,000",2019,Global Policy and Advocacy,1 year,"Ediciones El País, S.L.","Journalism, news and information; Advocacy journalism",Economically disadvantaged people,"Policy, advocacy and systems reform",Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States","Ediciones El Pais S.L., PA","Madrid, Spain",to inform and engage Spanish-speaking audiences on priority topics related to the sustainable development goals,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
44,"$1,143,145",2019,U.S. Program,1 year,Solutions Journalism Network Inc.,"Journalism, news and information; Advocacy journalism",Not Specified,Advocacy; Program support,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States",to create solutions-oriented news that constructively addresses economic mobility issues and advances positive change,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
45,"$1,126,850",2019,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Reporters Without Borders Inc,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
46,"$1,106,337",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Jay and Jean Schottenstein Foundation,"COLUMBUS, OH United States",Mesorah Heritage Foundation,"Rahway, NJ United States",Education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
47,"$1,098,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Lilly Endowment Inc,"Indianapolis, IN United States",Religion News Foundation,"New York City, NY United States",Support for Religion News Service project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
48,"$1,075,000",2019,Environment/Opportunity/Climate Change Initiative; Initiatives/Climate Change Opportunity Fund,2 years,for the Global Strategic Communication Council's digital capacity and organizational effectiveness,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,"Capacity-building and technical assistance; Online media; Outreach; Policy, advocacy and systems reform",Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",European Climate Foundation,"'s-Gravenhage, Netherlands","The European Climate Foundation’s Global Strategic Communications program supports a range of advocates and communications efforts promoting climate change and clean energy solutions globally through traditional and new media outreach. This grant will enable the program and network to better use social and digital media to share news and information on climate change to key audiences. It will enable them to hire digital staff and create visual, compelling content for digital and social media channels. The grant will also enable the program to conduct organizational management planning in the coming year.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
49,"$1,068,169",2019,Global Policy and Advocacy,1 year,The Bureau of Investigative Journalism,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Not Specified,Equal access; Program support,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",The Bureau of Investigative Journalism,"London, United Kingdom",to report regularly and in-depth on global health security issues,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
50,"$1,061,827",2019,,1 year,,"Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,General support,Cash grants,CLEVELAND FOUNDATION,"Cleveland, OH United States",Ideastream,"Cleveland, OH United States",General support for cleveland public radio,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
51,"$1,050,750",2019,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Program support,Cash grants,American Endowment Foundation,"Hudson, OH United States","National Public Radio, Inc.","Washington, DC United States",Programs,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
52,"$1,033,195",2019,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",Not Specified,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","Grist Magazine, Inc.","Seattle, WA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
53,"$1,032,000",2019,"Censorship, Freedom Of Speech and Press",1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","Committee to Protect Journalists, Inc.","New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
54,"$1,000,000",2019,Executive,1 year,Global Change Data Lab,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Capacity-building and technical assistance; Data and measurement systems; General support; Online media,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Global Change Data Lab,"Oxford, United Kingdom","to provide general operating support to a new data non-profit entity to increase web development capacity, develop a business plan, and increase content outputs related to global health and development.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
55,"$1,000,000",2019,,1 year,,Investigative journalism,Not Specified,General support,Cash grants,Craig Newmark Foundation,"San Francisco, CA United States",ProPublica,"New York City, NY United States","To expose abuses of power and betrayals of the public trust by government, business, and other institutions, using the moral force of investigative journalism to spur reform through the sustained spotlighting of wrongdoing.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
56,"$1,000,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,Public engagement and education; Program support,Cash grants,Hollywood Foreign Press Association Charitable Trust,"West Hollywood, CA United States",Inside Climate News,"Brooklyn, NY United States",Grant in support of journalists.,https://www.newsbusters.org/blogs/business/julia-seymour/2019/01/07/golden-globes-announces-2m-journalists-including-lefty
57,"$1,000,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Researchers; Activists,Public engagement and education; Program support,Cash grants,Hollywood Foreign Press Association Charitable Trust,"West Hollywood, CA United States",REPORTERS COMMITTEE FOR FREEDOM OF THE PRESS,"Washington, DC United States",Grant in support of journalists.,https://www.newsbusters.org/blogs/business/julia-seymour/2019/01/07/golden-globes-announces-2m-journalists-including-lefty
58,"$1,000,000",2019,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Houston Endowment Inc,"Houston, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",Toward Houston focused initiatives of the strategic plan,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
59,"$1,000,000",2019,,1 year,,"Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",Adolescents; Adults; Teachers; Students; Preteens,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The News Literacy Project,"Bethesda, MD United States",To promote news literacy and critical thinking among the next generation by offering quality tools,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
60,"$1,000,000",2019,,2 years,"Providing quality health news for underserved residents in the U.S. Southwest and creating a cadre of journalists to cover those issues, 2019-2021","Journalism, news and information; Advocacy journalism",Academics,"Equal access; Policy, advocacy and systems reform; Program support",Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Arizona State University Foundation,"Tempe, AZ United States","To support the Walter Cronkite School of Journalism and Mass Communication at Arizona State University in (1) providing health news to residents of Arizona, New Mexico, Nevada, Texas, and Southern California, with an emphasis on Latino, American Indian, and Spanish-speaking border communities; (2) educating policymakers, health care leaders, and residents of the region on issues that affect public policy and health care delivery; and (3) developing the next generation of health care journalists in the Southwestern United States.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
61,"$1,000,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Sandler Foundation,"San Francisco, CA United States","PRO Publica, Inc.","New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
62,"$1,000,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Sandler Foundation,"San Francisco, CA United States","PRO Publica, Inc.","New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
63,"$1,000,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Sandler Foundation,"San Francisco, CA United States","PRO Publica, Inc.","New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
64,"$1,000,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; General support,Cash grants,The Call Foundation,"Salt Lake City, UT United States",The Utah Journalism Foundation,"Salt Lake City, UT United States",Contribution made to a 501(C)3 charitable institution in support of its continuing mission.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
65,"$1,000,000",2019,Creativity and Free Expression,1 year,,"Media access and policy; Media democracy; Journalism, news and information; Investigative journalism; Constituency journalism",Ethnic and racial groups,Donor collaborations; General support; Program creation,Cash grants,The Ford Foundation,"New York City, NY United States",BOREALIS PHILANTHROPY,"Minneapolis, MN United States","Core support to launch the Racial Equity in Journalism Fund, a donor collaborative to assist and strengthen people of color-led and -serving media institutions, particularly around civic news coverage",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
66,"$1,000,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,The Katie Mcgrath & Jj Abrams Family Foundation,"Encino, CA United States","PRO Publica, Inc.","New York City, NY United States",Unrestricted support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
67,"$1,000,000",2019,,1 year,,"Journalism, news and information; Journalism education",Academics,Continuing support,Cash grants,The Kohlberg Foundation Inc,"Armonk, NY United States","CUNY Graduate School of Journalism Foundation, Inc.","New York City, NY United States",Dean's Opportunity Fund. Renewed Support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
68,"$1,000,000",2019,Environmental & Climate Justice,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",Children and youth; Adults; LGBTQ people; Immigrants and migrants; Artists and performers; Activists,General support,Cash grants,The Libra Foundation,"San Francisco, CA United States",The Center for Cultural Power,"Oakland, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
69,"$1,000,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,The Samuel and Jean Frankel Jewish Heritage Foundation,"Troy, MI United States",Mesorah Heritage Foundation,"Rahway, NJ United States",RELIGIOUS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
70,"$1,000,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Researchers,Program support; Publications,Cash grants,The Schmidt Family Foundation,"Palo Alto, CA United States","Climate Central, Inc.","Princeton, NJ United States",Climate News Engine,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
71,"$1,000,000",2019,Environment/Western Conservation/Defense,2 years,for support of the Center for Western Priorities,"Journalism, news and information; Journalism, news, and information, general",Not Specified,"Online media; Policy, advocacy and systems reform; Presentations and productions; Program support; Public engagement and education; Publications; Research",Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",RESOURCES LEGACY FUND,"Sacramento, CA United States","This grant will support the Center for Western Priorities, a project of the Resources Legacy Fund. The Center encourages public debate about conservation policy issues and works to advance those discussions online, in the news media, and throughout Western communities by sharing original research and reports.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
