index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
15,"$3,218,977",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Telecommunications Infrastructure, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",Georgia Public Telecommunications Commission,"Atlanta, GA United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
16,"$3,030,979",2022,,3 years,"Supporting the Data Across Sectors for Health's national program office -- Michigan Public Health Institute, 2022-2025","Journalism, news and information; Journalism, news, and information, general",Not Specified,"Data and measurement systems; Policy, advocacy and systems reform; Program support",Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Michigan Public Health Institute,"Okemos, MI United States",To support Data Across Sectors for Health in lifting up models and to support governance and capabilities that promote sustainable community decision-making and leadership in data-sharing ecosystems at community and state levels.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
17,"$3,000,000",2022,Journalism and Media,3 years,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Field Foundation of Illinois,"Chicago, IL United States",in support of the Media and Storytelling program.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
18,"$3,000,000",2022,Enriching Community Life,3 years,Indiana Local News Initiative,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Public engagement and education; Recordings and broadcasts; Program support,Cash grants,Nina Mason Pulliam Charitable Trust,"Indianapolis, IN United States",American Journalism Project Inc,"Washington, DC United States",Support to build a new model for local news in Central Indiana that utilizes a community reporting model and acts as a trusted source of information resulting in a more informed and engaged public.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
19,"$3,000,000",2022,,3 years,Journalism,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Open Society Foundation,"New York City, NY United States",International Consortium for Investigative Journalists Inc,"Washington, DC United States",To provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
20,"$2,969,003",2022,,3 years,"Supporting the Data Across Sectors for Health's national program office, 2022-2025","Journalism, news and information; Journalism, news, and information, general",Not Specified,Data and measurement systems; Program support,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Illinois Public Health Institute,"Chicago, IL United States",To support Data Across Sectors for Health in lifting up models and to support governance and capabilities that promote sustainable community decision-making and leadership in data-sharing ecosystems at the community and state levels.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
21,"$2,718,469",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Sergey Brin Family Foundation C/o Pacific Foundation Services,"San Francisco, CA United States",Humboldt Area Foundation,"Bayside, CA United States",SUPPORT FOR THE CORE HUB,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
22,"$2,697,870",2022,Global Policy and Advocacy,1 year,Open Cities Lab NPC,"Journalism, news and information; Investigative journalism",Not Specified,"Data and measurement systems; Policy, advocacy and systems reform; Public engagement and education; Presentations and productions",Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Open Cities Lab Npc,"DURBAN, Netherlands","to increase news storytellers’ capacity for data journalism about the SDGs by improving their ability to identify stories, visualizations, and interactives and to use data to strengthen health and development coverage",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
23,"$2,621,313",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",PUBINT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
24,"$2,600,000",2022,,1 year,,"Journalism, news and information; Investigative journalism; Advocacy journalism",Not Specified,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",More Perfect Union Foundation,"Alexandria, VA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
25,"$2,544,520",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Age groups; Ethnic and racial groups,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",CalMatters,"Sacramento, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
26,"$2,500,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Adults; Parents; Academics; Activists,General support,Cash grants,Craig Newmark Foundation,"San Francisco, CA United States",Markup News Inc,"New York City, NY United States",General Purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
27,"$2,500,000",2022,,9 months,Democratic Practice,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Public engagement and education; Program support; Continuing support,Cash grants,Fund for Policy Reform Inc,"New York City, NY United States",Courier Newsroom,"Washington, DC United States","To support grantee's non-partisan journalism, which aims to further the common good and general welfare of U.S. communities by providing access to information",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
28,"$2,500,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Houston Endowment Inc,"Houston, TX United States",Houston Local Information Initiative Inc,"Houston, TX United States",General Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
29,"$2,500,000",2022,New Work Exploration,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,Program support; Publications,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",The Chicago Community Trust,"Chicago, IL United States",in support of a pooled fund for independent journalism in Chicago.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
30,"$2,500,000",2022,Other,1 year,,"Journalism, news and information; Journalism, news, and information, general",People of African descent,Program support; Collections management and preservation; Public engagement and education,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Smithsonian National Museum of African American History and Culture,"Washington, DC United States",to donate the Foundation’s interest in the Johnson Publishing Archive (JPA).,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
31,"$2,500,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Systems reform; Publications; Public engagement and education; Advocacy,Cash grants,Kinder Foundation,"Houston, TX United States",Houston Local Information Initiative Inc,"Houston, TX United States",SUPPORT OF AN INDEPENDENT NEWS PUBLICATION IN HOUSTON,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
32,"$2,454,016",2022,,3 years,Leveraging the Associated Press' network to expand local health coverage and achieve significant impact on communities of all sizes and demographics,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; Equal access; Program support,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Associated Press,"New York City, NY United States",To (1) support the expansion of the Associated Press (AP) to report on public health and health equity and (2) leverage the AP's considerable network of reporters and bureaus to engage with local news organizations across the country to strengthen their overall public health reporting.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
33,"$2,450,594",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",RPRG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
34,"$2,425,500",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Students; Adults,Not Specified,Cash grants,Vanguard Charitable,"Malvern, PA United States",Renew Democracy Initiative Inc,"New York City, NY United States",For recipient's exempt purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
35,"$2,365,150",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Chicago Community Trust,"Chicago, IL United States",Chicago Public Media Inc,"Chicago, IL United States",General operating support for WBEZ and Vocalo's journalism and public engagement programs.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
36,"$2,000,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,Recordings and broadcasts; Public engagement and education,Cash grants,California Community Foundation,"Los Angeles, CA United States",American Journalism Project Inc,"Washington, DC United States",CIVIC ENGAGEMENT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
37,"$2,000,000",2022,Journalism and Media,4 years,,"Media Content and Platforms; Television; Journalism, news and information; Investigative journalism",Not Specified,Program support; Presentations and productions,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",WGBH Educational Foundation,"Boston, MA United States",in support of FRONTLINE.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
38,"$2,000,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Quadrivium,"New York City, NY United States",Associated Press,"New York City, NY United States",PURSUANT TO SPECIAL PURPOSE GRANT WITH EXPENDITURE RESPOSIBILITY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
39,"$2,000,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Students,Recordings and broadcasts,Cash grants,Robert R Mccormick Foundation,"Chicago, IL United States",Illinois Press Foundation Inc,"Springfield, IL United States",FOR CAPITOL NEWS ILLINOIS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
40,"$2,000,000",2022,Creativity and Free Expression,2 years,,"Journalism, news and information; Journalism, news, and information, general",People of African descent,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Capital B News Inc,"New York City, NY United States","General support to create accessible, trustworthy journalism by and for Black Americans that empowers and informs",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
41,"$1,950,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Public engagement and education,Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",American Journalism Project Inc,"Washington, DC United States",TO SUPPORT CIVIC NEWS ORGANIZATIONS' BUSINESS DEVELOPMENT.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
42,"$1,856,050",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","National Public Radio, Inc.","Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
43,"$1,845,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Swanee Hunt Family Foundation,"Washington, DC United States",Hunt Alternatives,"Washington, DC United States","INCLUSIVE SECURITY, DEMAND ABOLITION, POLITICAL PARITY, PRIME MOVERS PROGRAMS",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
44,"$1,839,180",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",Academics,Program support; General support,Cash grants,Ecmc Foundation,"Minneapolis, MN United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
45,"$1,838,665",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The Lenfest Institute for Journalism,"Philadelphia, PA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
46,"$1,830,789",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Advocacy; Network-building and collaboration; Public engagement and education; Equal access; Ethics and accountability; Program support,Cash grants,Bhp Foundation,"Washington, DC United States",Open Contracting Partnershipd,"New York City, NY United States","The Project will support the adoption of Open Contracting to promote accessible, user-friendly open data along the entire deal flow of public contracts in 15 resource rich countries.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
47,"$1,797,281",2022,,1 year,,"Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Families,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
48,"$1,765,400",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",National Trust for Local News,"ENGLEWOOD, CO United States","(O) = $1,765,400.00",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
49,"$1,750,000",2022,Beyond Current Program Structure,1 year,,"Journalism, news and information; Journalism, news, and information, general",Students; Journalism,General support,Cash grants,The Ford Foundation,"New York City, NY United States",The Howard University,"Washington, DC United States",Core support for the Center for Journalism and Democracy to help strengthen America’s democracy by training and supporting generations of Black journalists in the field of investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
50,"$1,720,680",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Earned income; Public engagement and education; Program support,Cash grants,American Journalism Project Inc,"Washington, DC United States",Houston Local News Initiative,"Houston, TX United States",TO GROW AND DIVERSIFY REVENUE AND TO ADVANCE TOWARD A SUSTAINABLE MODEL FOR LOCAL NEWS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
51,"$1,650,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",American Press Institute Inc,"Arlington, VA United States","(D) = $1,650,000.00",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
52,"$1,631,600",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",Academics,Program support; General support,Cash grants,David X Marks Foundation,"Los Angeles, CA United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
53,"$1,600,000",2022,On Nigeria,2 years and 6 months,,"Journalism, news and information; Investigative journalism",Not Specified,"Program support; Policy, advocacy and systems reform",Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Centre for Journalism Innovation and Development,"Abuja, Nicaragua",to strengthen investigative reporting and data-driven journalism to promote accountability in Nigeria.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
54,"$1,583,333",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Presentations and productions; Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Institute for Nonprofit News,"LOS ANGELES, CA United States",TO SUPPORT THE INSTITUTE FOR NONPROFIT NEWS AND ITS PROGRAMS TO STRENGTHEN THE HIGH-QUALITY LOCAL NEWS ECOSYSTEM IN THE U.S. BY FOCUSING ON THE FINANCIAL SUSTAINABILITY OF NONPROFIT NEWSROOMS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
55,"$1,534,969",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Fiscal sponsorships,Cash grants,Institute for Nonprofit News,"Beverly Hills, CA United States",Open Campus Media Inc,"Washington, DC United States",ORGANIZATION IS A FISCAL SPONSOR,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
56,"$1,515,000",2022,"Technology and Society; Disability Inclusion; Creativity and Free Expression; Gender, Racial and Ethnic Justice",1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Transgender people; Women and girls; People of Arab descent; People of African descent; People of Asian descent; American Indians; Alaskan Natives; People of Latin American descent; Multiracial people; Native Hawaiians; Pacific Islanders; People with disabilities; Immigrants and migrants; Sexual identity,General support; Program support,Cash grants,The Ford Foundation,"New York City, NY United States","Rockefeller Philanthropy Advisors, Inc.","New York City, NY United States","Core support for the Pop Culture Collaborative Fund, a funder learning community transforming narratives about people of color, immigrants, refugees, Muslims, and indigenous peoples through pop culture; and project support for institutional strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
57,"$1,501,648",2022,,2 years,"Supporting investigative journalism on healthcare at ProPublica, 2022-2024","Journalism, news and information; Investigative journalism",Not Specified,"Policy, advocacy and systems reform; Program support",Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States","PRO Publica, Inc.","New York City, NY United States","To support healthcare-related investigative journalism at ProPublica, Inc.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
58,"$1,500,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Crankstart Foundation,"SAN FRANCISCO, CA United States","PRO Publica, Inc.","New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
59,"$1,500,000",2022,,1 year,,"Journalism, news and information; Investigative journalism; Journalism education",Not Specified,Public engagement and education; Program support,Cash grants,Diana Davis Spencer Foundation Inc,"Bethesda, MD United States",Informing America Foundation,"WASHINGTON, DC United States",PUBLIC INTEREST JOURNALISM AND EDUCATIONAL OUTREACH,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
60,"$1,500,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Donors Trust Inc,"Alexandria, VA United States",Informing America Foundation,"WASHINGTON, DC United States",for general operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
61,"$1,500,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Fellowships,Cash grants,Frechette Family Foundation,"Minneapolis, MN United States",Marquette University,"Milwaukee, WI United States",PERRY AND ALICIA O'BRIEN FELLOWSHIP IN PUBLIC SERVICE JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
62,"$1,500,000",2022,,1 year,$1.5M in Grant Awards Across the Central Valley of CA Dedicated to Local Journalism & Civic Engagement,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Leadership and professional development; Program support,Cash grants,James B. McClatchy Foundation,"Sacramento, CA United States",Unknown Recipient(s),,"The James B. Mcclatchy Foundation made $1.5 Million in grant awards across the central valley of California, dedicated to local journalism & civic engagement. These grants are a part of JBMF'S efforts to preserve first amendment rights by strengthening local journalism infrastructure and building a connected ecosystem of both public and private organizations. The investments to more than 25 organizations will lead to 20 journalism jobs across the Central Valley, fund innovative programs that cultivate next generation journalists and civic leaders, and reignite local investigative journalism that holds powerful interests accountable.",https://www.yahoo.com/now/1-5m-grant-awards-across-211000908.html
63,"$1,500,000",2022,Journalism and Media,3 years and 11 months,,"Media access and policy; Media justice; Journalism, news and information; Citizen journalism",Not Specified,General support,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Stichting Global Voices,"Amsterdam, Netherlands",in support of general operations.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
64,"$1,500,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,Quadrivium,"New York City, NY United States",American Journalism Project Inc,"Washington, DC United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
65,"$1,500,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Data and measurement systems; Capital and infrastructure; Program support,Cash grants,S & L Marx Foundation,"Wilmington, DE United States",Yale University,"New Haven, CT United States",Data Science Library,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
66,"$1,500,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Indigenous peoples; Low-income people,Data and measurement systems; Program support,Cash grants,The Patrick J Mcgovern Foundation Inc,"Boston, MA United States",World Resources Institute,"Washington, DC United States",TO SUPPORT THE WORK OF THE WRI GLOBAL DATA LAB AND DATA-DRIVEN CLIMATE EFFORTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
67,"$1,500,000",2022,CPA Central Office,1 year,2022 VPO 002,"Journalism, news and information; Investigative journalism",Adults; Children and youth; Students,Capacity-building and technical assistance; Program support,Cash grants,The Rockefeller Foundation,"New York City, NY United States",PULITZER CENTER ON CRISIS REPORTING,"Washington, DC United States","Grant in support of building journalism capacity by developing inclusive reporter training, tools for newsrooms, peer networks, and resources to expand coverage of under-reported and/or inaccurately reported critical public health information",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
68,"$1,500,000",2022,Gender Equity & Governance,2 years,for the Global Partnership for Sustainable Development Data,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support; Program support,Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States","United Nations Foundation, Inc.","Washington, DC United States","The United Nations Foundation serves as the institutional host of the Global Partnership for Sustainable Development Data (GPSDD), which brings together government, private-sector, civil society, and international institutions to harness new and traditional sources of data to better understand and address development challenges. This grant will support the implementation of the partnership?s new strategic plan, which seeks to solve three major problems: (a) how to harness up-to-date data to ensure decisions are informed by current and changing contexts; (b) how to safely include and represent all people in data and the data value chain; and (c) how to govern data fairly and safely. This grant supports the Evidence-Informed Policymaking strategy goal that governments in East and West Africa make better use of data to improve decision making and outcomes for people.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
