amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"$689,556",2024,,2 years,Continuing support for the USC Annenberg Center for Health Journalism National Fellowship,"Journalism, news and information; Journalism, news, and information, general",Academics,Outreach; Program support,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",University of Southern California,"Los Angeles, CA United States","To continue support for the USC Center for Health Journalism's National Fellowship, which partners with 20 competitively selected journalists and major newsrooms across the country to produce groundbreaking journalism on child and family wellbeing in underserved communities.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$515,000",2024,Other Grantmaking,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Transgender people,General support; Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Translash Media Inc,"Brooklyn, NY United States","General support to embed new narratives of transgender people, especially those of color, into public consciousness, and project support for institutional strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$500,000",2024,Journalism,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Academics; Activists,Public engagement and education,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Muckrock Foundation Incorporated,"Boston, MA United States","To increase audience and major donors for MLK50, a Memphis-based investigative news outlet that has demonstrated journalistic excellence and community impact",https://knightfoundation.org/grants/
"$500,000",2024,Technology and Society,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Media applications and tools; Media applications and tools, general; Media access and policy; Media democracy; Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Freedom of the Press Foundation,"Brooklyn, NY United States","General support to protect, defend, and empower public-interest journalism through the development of encryption tools, documentation of attacks on the press, and training newsrooms on digital security practices",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$500,000",2024,Other Grantmaking,10 months,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Journalism,General support,Cash grants,The Ford Foundation,"New York City, NY United States",New Venture Fund,"Washington, DC United States","Core support for Hammer & Hope Digital Magazine to deliver exclusive essays, first-person columns, historical articles, and thought pieces directly to the inboxes of subscribers",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$500,000",2024,Civic Engagement and Government; Other Grantmaking,2 years,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",The 19th News,"Austin, TX United States","Core support for nonpartisan coverage of the 2024 U.S. Presidential election season, the aftermath and related political coverage in local markets",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$500,000",2024,Technology and Society; Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",International Media Support,"København K, Denmark",General support to support media outlets and digital rights organisations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$470,000",2024,Global Policy and Advocacy,1 year,Solutions Journalism Network Inc.,"Journalism, news and information; Investigative journalism",Not Specified,"Program support; Capacity-building and technical assistance; Policy, advocacy and systems reform; Online media",Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States",to support solutions journalism in Nigeria and Kenya using initial coverage of responses to the COVID‐19 crisis to create a strong foundation for broad‐based solutions reporting on a range of health and development issues,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$450,000",2024,,3 years,Supporting a Health and Racial Equity Campaign,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",Latino Media Collaborative,"Los Angeles, CA United States",To support programs focused on building the solidarity campaign of Latino media outlets to write and cover stories on racial healing in California.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$450,000",2024,,3 years,De Los - Amplifying Health and Racial Equity,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",Ccf Community Initiatives Fund,"Los Angeles, CA United States",To support and uplift specialized news reporting labs in the Los Angeles area that focus on health and racial equity issues facing communities of color.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$450,000",2024,Just Societies,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,DAVID AND LUCILE PACKARD FOUNDATION,"Los Altos, CA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States",for core support for the Journalism for Democracy Initiative,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$450,000",2024,Other Grantmaking,3 years,,"Journalism, news and information; Investigative journalism",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Documented Ltd,"New York City, NY United States",General support to expand news coverage of New York City’s immigrants and the policies that affect their lives,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$400,000",2024,Field Support and Development,2 years,Reporting on Postsecondary Education and Workforce Training in Wisconsin,"Journalism, news and information; Investigative journalism",Adults; Students,"Capacity-building and technical assistance; Policy, advocacy and systems reform; Program support",Cash grants,Ascendium Education Group Inc,"Madison, WI United States",Wisconsin Center for Investigative Journalism,"Madison, WI United States","This grant supports Wisconsin Watch in establishing new “Pathways to Success” reporting to cover postsecondary topics, trends, challenges, and solutions across the state.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$400,000",2024,Midwest Climate & Energy,2 years,Strengthen Democratic Participation,"Journalism, news and information; Journalism, news, and information, general",Adolescents; Students; Children and youth; Ethnic and racial groups,Program support,Cash grants,MCKNIGHT FOUNDATION,"Minneapolis, MN United States",Action for the Climate Emergency,"Charlestown, MA United States","to support education, engagement, and activation on climate action in the Midwest",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$400,000",2024,Sustainable Development Program Director,2 years,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Adults,General support,Cash grants,"Rockefeller Brothers Fund, Inc.","New York City, NY United States",Inside Climate News,"Brooklyn, NY United States",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$400,000",2024,Other Grantmaking,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",People of African descent; American Indians; Alaskan Natives; Researchers,General support,Cash grants,The Ford Foundation,"New York City, NY United States",University of Southern California,"Los Angeles, CA United States","Core Support for the Charlotta Bass Journalism and Justice Lab which trains anti-racist journalists, manages an archive of Black newspapers on the West Coast, shares oral histories and creates community journalism",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$350,000",2024,Other Grantmaking,3 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",LGBTQ people,General support,Cash grants,The Ford Foundation,"New York City, NY United States",National Lesbian & Gay Journalists Association,"Washington, DC United States","General support to train journalists to advance fair and accurate coverage of LGBTQ communities and issues, promote diverse and inclusive workplaces by holding the industry accountable and providing education, professional development and mentoring",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$341,250",2024,Civic Engagement and Government,1 year,,"Journalism, news and information; Investigative journalism",Journalism,General support; Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Freedom Voices Network,"Paris, France","General support to foster collaboration among journalists, to make visible and impactful the work of reporters who can no longer investigate and project support for institutional strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$315,000",2024,Other Grantmaking,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Ethnic and racial groups,General support; Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Outlier Media,"Detroit, MI United States","General support to provide news centering and responding to Detroiters’ needs toward a vision of a liberated city with healthy civic infrastructure rooted in participation and self-determination, and project support for institutional strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$300,000",2024,,3 years,Institute for Media and Public Trust – Advancing Health Equity,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",California State University Fresno Foundation,"Fresno, CA United States",To support a health journalist in the Central Valley who can elevate issues and uplift voices from diverse communities through a health and racial equity lens.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$300,000",2024,,3 years,Creating Health Equity and Racial Justice Radio Content,"Journalism, news and information; Journalism, news, and information, general",Families; Immigrants and migrants; Adolescents; Young adults; Activists,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",The Futuro Media Group,"New York City, NY United States",To support production of multiple radio segments and multimedia journalism examining health equity and racial justice issues in Latino communities in California to empower people and encourage solutions rooted in community voice.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$300,000",2024,,3 years,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Low-income people,Program support,Cash grants,SURDNA FOUNDATION INC,"New York City, NY United States",Free Press,"Washington, DC United States","The purpose of this grant is to support Free Press' Media 2070 project, which advocates for media reparations to achieve a future where Black people have the capital and power necessary to control their own stories, from creation through distribution",https://surdna.org/grants-database
"$300,000",2024,Interfaith Leadership & Religious Literacy,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,Recordings and broadcasts; Public engagement and education,Cash grants,The Arthur Vining Davis Foundations,"PONTE VEDRA BEACH, FL United States",Religion News Foundation,"Columbia, MO United States","At a time when more religious literacy would help combat political polarization and disinformation, robust news coverage about religion and faith communities has disappeared along with 2,400 newspapers since 2005. Thirty years ago, the Religion News Association counted 500 members. Today, only a few dozen religion writers are working full-time across the entire country.  Since 1934, Religion News Service (RNS) has helpedÂ ensure stories about faith communities and beliefs are being told. With this proposal, RNS would significantly increase bothÂ reach and impact through a new editorial partnership with National Public Radio (NPR) and local public radio stations across the country. The partnership has the potential to reach 44 million listeners and users across public radio, streaming and digital platforms. RNS would provide unparalleled editorial expertise about religion reporting to public media journalists. Both RNS and NPR would dedicate senior editors, producers and journalists to co-produce audio and/or digital stories.  This project promises to help inform and help more Americans appreciate religious traditions other than their own, providing a major source of religious literacy and new opportunities to support the American tradition of religious pluralism.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$300,000",2024,Civic Engagement and Government,3 years,,"Journalism, news and information; Journalism, news, and information, general",Adolescents,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Magamba Cultural Activist Network,"Harare, Zimbabwe",General support to advance creative digital media focusing on Youth digital campaigns for civic engagement,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$300,000",2024,Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Activists; Researchers,General support,Cash grants,The Ford Foundation,"New York City, NY United States",The African Centre for Media Excellence,"Kampala, Uganda","General support to enable the media in Uganda to remain reliable, credible, and independent sources of information, effective watchdogs, and vibrant forums for public debate",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$300,000",2024,Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Internet and broadband; Journalism, news and information; Journalism, news, and information, general",Indigenous peoples; Multiracial people; People of African descent,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Intervozes - Brazil Social Communication Collective,"São Paulo, Brazil",General support to promote democratization of communications and to foster technology autonomy in civil society,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$300,000",2024,Other Grantmaking,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Rebuild Local News,"Brooklyn, NY United States",General support to develop and advance public policies to help save local news and strengthen democracy,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$280,000",2024,Natural Resources and Climate Change,2 years,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Red de Periodistas Sociales-Periodistas a Pie A.C.,"Ciudad de México, Mexico","Core support to strengthen the independent media and journalists in Mexico, with emphasis in their work related to land, environment, social justice and climate.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$275,000",2024,Pivotal Place: Central America,1 year,,"Journalism, news and information; Investigative journalism",Low-income people,Program support,Cash grants,"Rockefeller Brothers Fund, Inc.","New York City, NY United States",Seattle International Foundation,"Seattle, WA United States",For its Independent Journalism Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$275,000",2024,Other Grantmaking,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Women and girls,General support,Cash grants,The Ford Foundation,"New York City, NY United States",The Womens Media Center Inc,"Washington, DC United States","General support to increase the diversity, power and visibility of women in media",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$262,650",2024,U.S. Program,1 year,President And Fellows of Harvard College,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Leadership and professional development; Research; Program support; Network-building and collaboration,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",President and Fellows of Harvard College,"Cambridge, United Kingdom",to support Strategic Data Fellow positions focused on early learning data,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$260,000",2024,,2 years,Studying the relationship of young Black adults' 'obstructed use' of mental health services and structural racism to experiences of suicidal ideation,"Journalism, news and information; Journalism, news, and information, general",Academics,Not Specified,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",University of Missouri - School of Journalism,"Columbia, MO United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$250,000",2024,Journalism,1 year,,"Journalism, news and information; Journalism education",Not Specified,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Chicago Community Trust,"Chicago, IL United States",To support the launch and operationsof Press Forward Chicago,https://knightfoundation.org/grants/
"$250,000",2024,Other Grantmaking,2 years,Nonprofit Media,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,MCKNIGHT FOUNDATION,"Minneapolis, MN United States",MinnPost,"Minneapolis, MN United States","for general operating support - MinnPost provides high-quality, in-depth journalism at no charge for Minnesotans all around the state.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$250,000",2024,Other Grantmaking,2 years,,"Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; People with disabilities; Women and girls; LGBTQ people; At-risk youth; Immigrants and migrants; Economically disadvantaged people; Victims and oppressed people; Academics; Activists; Artists and performers; Domestic workers; Emergency responders; Retired people; Self-employed people; Unemployed people; Veterans,General support,Cash grants,The Ford Foundation,"New York City, NY United States",New York Public Radio,"New York City, NY United States","General support to make the mind more curious, the heart more tolerant and the spirit more joyful through excellent radio programming",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$250,000",2024,Other Grantmaking,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Sahan Journal,"St Paul, MN United States","General support to provide fair, groundbreaking news coverage that illuminates issues affecting Minnesota immigrants and communities of color and to chronicle how these communities are changing and redefining what it means to be a Minnesotan",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$250,000",2024,Other Grantmaking,1 year,,"Journalism, news and information; Journalism, news, and information, general",Journalism,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Craig Newmark Graduate School of Journalism Cuny Foundation,"New York City, NY United States","Core support for the Graduate School of Journalism's special program which aims to make a journalism education tuition-free through special reimbursements, scholarships and work credits",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$250,000",2024,Other Grantmaking,1 year,,"Journalism, news and information; Investigative journalism",Journalism,General support,Cash grants,The Ford Foundation,"New York City, NY United States",University of Durham,"Durham, United Kingdom",Core support for the Sir Harry Evans Global Summit in Investigative Journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$250,000",2024,Other Grantmaking,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Journalism,General support,Cash grants,The Ford Foundation,"New York City, NY United States",The Trustees of Columbia University in the City of New York,"New York City, NY United States","Core support for the Graduate School of Journalism's special program which aims to make a journalism education tuition-free through special reimbursements, scholarships and work credits",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$250,000",2024,Other Grantmaking,1 year,,"Journalism, news and information; Investigative journalism",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",WGBH Educational Foundation,"Boston, MA United States","Tie-off core support to pilot a series of impact campaigns for Frontline, connected to its original reporting",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$225,000",2024,National Program,1 year and 3 months,The 74,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Students,General support,Cash grants,Carnegie Corporation of New York,"New York City, NY United States",The 74 Media Inc,"New York City, NY United States",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
