amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $1,550,000",FISCAL YEAR: 2019,PROGRAM AREA: Education,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Students,"SUPPORT STRATEGY: Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Results in Education Foundation,"Rochester, MI United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program creation,TRANSACTION TYPE: Cash grants,Craig Newmark Foundation,"San Francisco, CA United States",The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",To develop and support sustainable business models for great local journalism.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Continuing support; Fundraising; Program support,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Miami Foundation,"Miami, FL United States","To renew support for Newsmatch, a national matching gifts program for nonprofit newsrooms",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2019,,GRANT DURATION: 5 years and 4 months,,"SUBJECT:Telecommunications infrastructure; Internet and broadband; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Lilly Endowment Inc,"Indianapolis, IN United States",The Christian Century,"Chicago, IL United States",Religion Journalism in a Digital Age project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2019,PROGRAM AREA: Printing and Publishing,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Network-building and collaboration,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","Journalism Development Network, Inc.","Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2019,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 2 years and 7 months,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Children and youth; Older adults; Young adults,SUPPORT STRATEGY: Capacity-building and technical assistance; Program support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",International Media Support,"København K, Denmark","To enhance networking, solidarity and business model development of a regional network of Arab independent investigative journalism outlets",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2019,PROGRAM AREA: Environment; Field Strengthening,GRANT DURATION: 3 years,GRANT TITLE: A New Green: Building the Communications and Convening Infrastructure for an Equitable Environmentalism of the Proposal,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Continuing support; Equal access; Program support; Publications,TRANSACTION TYPE: Cash grants,The Jpb Foundation,"New York City, NY United States","Grist Magazine, Inc.","Seattle, WA United States","To strengthen the field by demonstrating the interrelatedness of environmentalism and other fights for justice, telling the stories that illustrate solutions to the crises at hand, and elevating and empowering the people and organizations that will bring these solutions home.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,THE SKOLL FUND,"Palo Alto, CA United States","Journalism Development Network, Inc.","Washington, DC United States",Core support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,TIDES FOUNDATION,"San Francisco, CA United States",The Poynter Institute for Media Studies Inc,"St Petersburg, FL United States",Project support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,450,000",FISCAL YEAR: 2019,PROGRAM AREA: On Nigeria,GRANT DURATION: 2 years,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Data and measurement systems; Ethics and accountability; Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Premium Times Centre for Investigative Journalism (PTCIJ),"Zone Wuse, Nigeria",In support of strengthening investigative and data-driven journalism as tools for reducing corruption and enhancing accountability.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,348,917",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Ethics and accountability; Network-building and collaboration,TRANSACTION TYPE: Cash grants,Bhp Foundation,"Washington, DC United States",Open Contracting Partnershipd,"New York City, NY United States","The Project will support the adoption of Open Contracting to promote accessible, user-friendly open data along the entire deal flow of public contracts in 15 resource rich countries.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,343,750",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Age groups; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",CalMatters,"Sacramento, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,269,000",FISCAL YEAR: 2019,,GRANT DURATION: 3 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Lilly Endowment Inc,"Indianapolis, IN United States",The Conversation US,"Waltham, MA United States",Continued support for project to strengthen journalism in religion and philanthropy,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,211,600",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",MARSHALL PROJECT INC,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,200,000",FISCAL YEAR: 2019,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,"GRANT TITLE: Ediciones El País, S.L.","SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Economically disadvantaged people,"SUPPORT STRATEGY: Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States","Ediciones El Pais S.L., PA","Madrid, Spain",to inform and engage Spanish-speaking audiences on priority topics related to the sustainable development goals,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,143,145",FISCAL YEAR: 2019,PROGRAM AREA: U.S. Program,GRANT DURATION: 1 year,GRANT TITLE: Solutions Journalism Network Inc.,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Program support,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States",to create solutions-oriented news that constructively addresses economic mobility issues and advances positive change,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,126,850",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Reporters Without Borders Inc,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,106,337",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Jay and Jean Schottenstein Foundation,"COLUMBUS, OH United States",Mesorah Heritage Foundation,"Rahway, NJ United States",Education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,098,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Lilly Endowment Inc,"Indianapolis, IN United States",Religion News Foundation,"New York City, NY United States",Support for Religion News Service project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,075,000",FISCAL YEAR: 2019,PROGRAM AREA: Environment/Opportunity/Climate Change Initiative; Initiatives/Climate Change Opportunity Fund,GRANT DURATION: 2 years,GRANT TITLE: for the Global Strategic Communication Council's digital capacity and organizational effectiveness,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Capacity-building and technical assistance; Online media; Outreach; Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",European Climate Foundation,"'s-Gravenhage, Netherlands","The European Climate Foundation’s Global Strategic Communications program supports a range of advocates and communications efforts promoting climate change and clean energy solutions globally through traditional and new media outreach. This grant will enable the program and network to better use social and digital media to share news and information on climate change to key audiences. It will enable them to hire digital staff and create visual, compelling content for digital and social media channels. The grant will also enable the program to conduct organizational management planning in the coming year.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,068,169",FISCAL YEAR: 2019,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: The Bureau of Investigative Journalism,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Equal access; Program support,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",The Bureau of Investigative Journalism,"London, United Kingdom",to report regularly and in-depth on global health security issues,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,061,827",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,CLEVELAND FOUNDATION,"Cleveland, OH United States",Ideastream,"Cleveland, OH United States",General support for cleveland public radio,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
