amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2021,PROGRAM AREA: Gender Equity & Governance,GRANT DURATION: 3 years,GRANT TITLE: for advocacy and programming to improve gender data use and resourcing,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support; Program support,TRANSACTION TYPE: Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States","United Nations Foundation, Inc.","Washington, DC United States","Data2X, an alliance housed at the U.N. Foundation, seeks to improve the quality, availability, and use of gender data in order to make a practical difference in the lives of women and girls worldwide. Data2X works with partners to improve the production and use of gender data through convening, research, advocacy, and communications. As an anchor grantee in the data substrategy of our women?s economic empowerment work, Data2X has a track record of raising awareness about the importance of gender data, identifying gender data gaps, and building partnerships to develop new methods. During this grant period, Data2X aims to enable the availability, usability, demand for, funding of, and use of gender data by governments, multilaterals, and private sector actors. Its goals include laying the groundwork for larger-scale change in key gender data production areas such as women?s economic participation, financial inclusion, and big data; deepening the field?s understanding of the current state of gender data and actions that need to be taken to drive data use; mobilizing new actors or channels for funding; and improving its own capacity to tell the gender data story and mobilize new investments in gender data. (Strategy: International Women?s Economic Empowerment)HEALTH",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,861,043",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,735,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Northlight Foundation Inc,"New York City, NY United States",Amalgamated Charitable Foundation Inc,"Washington, DC United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,733,530",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,"Alpharetta, GA United States",Global Media Outreach,"Plano, TX United States",EVANGELISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,694,740",FISCAL YEAR: 2021,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Bhekisisa Development Media NPC,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Systems reform; Program support,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Bhekisisa Development Media,"Rosebank, South Africa","to support accurate, in-depth, solutions-oriented coverage of health policy implementation, and resourcing in order to raise awareness among decision makers, and improve accountability",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,600,000",FISCAL YEAR: 2021,,GRANT DURATION: 2 years,"GRANT TITLE: Strengthening and expanding National Public Radio health coverage through new content and coverage areas, new platforms, and new audiences, 2021-2024","SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Adults,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education; Program support; Online media,TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States","National Public Radio, Inc.","Washington, DC United States",To continue long-standing support for the National Public Radio (NPR) Health Unit to expand in-depth news coverage of important health and healthcare issues and to allow NPR to continue to develop and implement a multimedia expansion of its Science Desk.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,595,720",FISCAL YEAR: 2021,PROGRAM AREA: Data Science,GRANT DURATION: 1 year,GRANT TITLE: 2021 DAT 006,"SUBJECT:Media applications and tools; Media applications and tools, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Data and measurement systems; Information technology; Program support,TRANSACTION TYPE: Cash grants,The Rockefeller Foundation,"New York City, NY United States",New Venture Fund,"Washington, DC United States","Grant for use by its project data.org, in support of building the field of data science for social impact and improving gender diversity of the data science work force through the Capacity Accelerator Network",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Outreach; Program support,TRANSACTION TYPE: Cash grants,Comcast Corporation Contributions Program,"Philadelphia, PA United States",Echoing Green Inc,"New York City, NY United States","Echoing Green announced today a $2.5 Million commitment from Comcast NBCUniversal to the organizations $50M racial Equity Philanthropic Fund. With this investment from Comcast, Echoing Green will launch programming that enables leaders working to dismantle structural racism and build inclusive economies.",https://echoinggreen.org/news/echoing-green-announces-2-5-million-commitment-from-comcast-nbcuniversal-to-advance-racial-equity/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Parents; Academics; Activists,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Craig Newmark Foundation,"San Francisco, CA United States",Markup News Inc,"New York City, NY United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2021,,GRANT DURATION: 5 years,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Equal access; Program support,TRANSACTION TYPE: Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Howard University Itf Washington Me,"WASHINGTON, DC United States","to support the Center for Journalism and Democracy, housed at Howard University, to train and support the next generation of Black investigative journalists in order to broaden the field of journalism, build a more inclusive and equitable sector, and strengthen American democracy as a whole",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,MacKenzie Scott and Dan Jewett,"Seattle, WA United States",Youth Radio,"Oakland, CA United States","Mackenzie Scott and Dan Jewett made an unrestricted grant of $2.5 Million to YR Media, a national multimedia platform and education center serving young people ages 14 to 29. Funds will be used to enhance existing resources and leveraged to increase and diversify YR Media’s content output. This grant is part of the $2,739,000,000 in gifts to 286 high-impact organizations in categories and communities that have been historically underfunded and overlooked, and social sector infrastructure organizations that support them.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents; Children and youth; Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",Youth Radio,"Oakland, CA United States",HUMAN SERVICES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Telecommunications infrastructure; Telecommunications; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Technical assistance,TRANSACTION TYPE: Cash grants,The Leona M and Harry B Helmsley Charitable Trust,"New York City, NY United States",Geoscience Australia,"Symonston, Australia",DIGITAL EARTH AFRICA: PHASE 2 (OPERATIONAL BUILD),http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,434,447",FISCAL YEAR: 2021,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Telegraph Media Group Limited,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Research and evaluation; Public engagement and education,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Telegraph Media Group Limited,"London, United Kingdom","to support the production of independent journalism to raise awareness in the UK around global health security and engage audiences in solutions, greater research, and cooperation",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,400,000",FISCAL YEAR: 2021,PROGRAM AREA: Science / Projects,GRANT DURATION: 2 years and 4 months,GRANT TITLE: Annual Reviews Open Access and Knowable Magazine,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Publications; Program support,TRANSACTION TYPE: Cash grants,GORDON E AND BETTY I MOORE FOUNDATION,"Palo Alto, CA United States",Annual Reviews,"San Mateo, CA United States","To support the development of ""S2O"", a pilot program for open access Annual Reviews journals and Knowable Magazine, a digital magazine that communicates topical scientific knowledge to the public.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,400,000",FISCAL YEAR: 2021,PROGRAM AREA: Outreach & Education,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support; Presentations and productions,TRANSACTION TYPE: Cash grants,Simons Foundation,"New York City, NY United States",World Science Foundation,"New York City, NY United States",World Science Festival Outright and Matching Grant,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,266,113",FISCAL YEAR: 2021,,GRANT DURATION: 2 years,"GRANT TITLE: Building a team of health journalists in the South to cover the issues of health, race, and poverty that other newsrooms can't or won't","SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Research",TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",KFF (THE HENRY J KAISER FAMILY FOUNDATION),"San Francisco, CA United States","To support, with the Kaiser Family Foundation, the launch of a major initiative on health and social equity reporting in the American South that will bring stories of health, race, and poverty to prominence as the region continues to reckon with the impact of the pandemic and many existing health challenges.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,250,000",FISCAL YEAR: 2021,PROGRAM AREA: Technology and Society,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media justice; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Markup News Inc,"New York City, NY United States","General support to produce investigative and explanatory journalism about the emerging technologies that are shaping our world, and in particular, focusing on the ways in which they are deepening and exacerbating existing inequalities",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,245,323",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,225,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Northlight Foundation Inc,"New York City, NY United States",REGENTS OF THE UNIVERSITY OF MICHIGAN,"Ann Arbor, MI United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,070,860",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Public engagement and education; Program support",TRANSACTION TYPE: Cash grants,The Conversation US,"Waltham, MA United States",Chronicle of Higher Education,"Washington, D.C., DC United States","PHILANTHROPY JOURNALISM COLLABORATION TO EDUCATE THE PUBLIC THROUGH KNOWLEDGE BASED JOURNALISM THAT IS RESPONSBILE, ETHICAL AND SUPPORTED BY EVIDENCE.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,025,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Researchers,SUPPORT STRATEGY: General support; Network-building and collaboration,TRANSACTION TYPE: Cash grants,The Schmidt Family Foundation,"Palo Alto, CA United States","Climate Central, Inc.","Princeton, NJ United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,018,457",FISCAL YEAR: 2021,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 4 years,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",The Center for Investigative Reporting,"Emeryville, CA United States","General support for the nation's oldest nonprofit investigative journalism association, reaching audiences through its radio program and multimedia effort Reveal, and core support for institutional strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Academics; Activists; Ethnic and racial groups; Victims and oppressed people; Economically disadvantaged people; Artists and performers,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",NONPROFIT INFORMATION NETWORKING ASSOCIATION,"Boston, MA United States",CULTURE & ARTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Quadrivium,"New York City, NY United States",American Journalism Project Inc,"Washington, DC United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2021,PROGRAM AREA: Media & Communications,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",American Journalism Project Inc,"Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,950,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",American Journalism Project Inc,"Washington, DC United States",TO SUPPORT CIVIC NEWS ORGANIZATIONS' BUSINESS DEVELOPMENT.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,950,000",FISCAL YEAR: 2021,PROGRAM AREA: Printing & Publishing,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",MARSHALL PROJECT INC,"New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,900,000",FISCAL YEAR: 2021,PROGRAM AREA: Education Single Organization Support,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Students,"SUPPORT STRATEGY: Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Results in Education Foundation,"Rochester, MI United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
