amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $4,750,000",FISCAL YEAR: 2023,PROGRAM AREA: Journalism,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism; Constituency journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Presentations and productions; Public engagement and education,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Institute for Nonprofit News,"Beverly Hills, CA United States",To support the Institute for Nonprofit News and its programs tostrengthen the high-quality local news ecosystemin the U.S. by focusing on the financial sustainability of nonprofit newsrooms,https://knightfoundation.org/grants/
"TOTAL AMOUNT:  $4,193,305",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States","PRO Publica, Inc.","New York City, NY United States","To launch, with Texas Tribune, a co-branded investigative unit focused on the state of Texas",https://www.arnoldventures.org/grants-search?years=2023
"TOTAL AMOUNT:  $4,000,000",FISCAL YEAR: 2023,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,"GRANT TITLE: National Public Radio, Inc.","SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Program support,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States","National Public Radio, Inc",WA United States,to support NPR's ongoing coverage of global health and development issues and data infrastructure.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,000,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Civic Involvement Fund,"Brooklyn, NY United States",Fair Democracy,"Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,000,000",FISCAL YEAR: 2023,,GRANT DURATION: 3 years,GRANT TITLE: Supporting the Center for Journalism & Democracy to continue investigative reporting that addresses health disparities and advances health equity,"SUBJECT:Journalism, news and information; Investigative journalism; Journalism education",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Equal access; Research and evaluation; Convening,TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",The Howard University,"Washington, DC United States",To establish innovative academic and applied research programs that will advance health equity journalism across the constellation of Historically Black Colleges and Universities.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,822,938",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support; General support,TRANSACTION TYPE: Cash grants,"Alzheimer's Disease and Related Disorders Association, Inc.","Chicago, IL United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,600,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",More Perfect Union Foundation,"Alexandria, VA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,500,000",FISCAL YEAR: 2023,PROGRAM AREA: Local News,GRANT DURATION: 3 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",BOREALIS PHILANTHROPY,"Minneapolis, MN United States",for flexible support of the Racial Equity in Journalism Fund.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,198,567",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Telecommunications Infrastructure, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",Georgia Public Telecommunications Commission,"Atlanta, GA United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,177,198",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The George a V Dunning Foundation C/o Dean Bryant Keith Alexander Lmu,"Los Angeles, CA United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",EDUCATIONAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2023,PROGRAM AREA: National Program,GRANT DURATION: 1 year,GRANT TITLE: National Center for Civic Innovation,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Capacity-building and technical assistance,TRANSACTION TYPE: Cash grants,Carnegie Corporation of New York,"New York City, NY United States",NATIONAL CENTER FOR CIVIC INNOVATION INC,"New York City, NY United States",For core support for OpenSciEd,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2023,,GRANT DURATION: 3 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,Democracy Fund Inc,"Washington, DC United States",BOREALIS PHILANTHROPY,"Minneapolis, MN United States",The Racial Equity in Journalism Fund (REJ) seeks to strengthen a future where communities of color are powerful. They do this by nourishing and building up the capacity and sustainability of both news organizations and journalism ecosystem partners led by people of color,https://democracyfund.org/for-partners/grants-database/
"TOTAL AMOUNT:  $2,754,965",FISCAL YEAR: 2023,,GRANT DURATION: 3 years,GRANT TITLE: Continued support for Philanthropy Journalism Collaboration,"SUBJECT:Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Lilly Endowment Inc,"Indianapolis, IN United States",The Conversation US,"Waltham, MA United States",Continued support for Philanthropy Journalism Collaboration,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,750,000",FISCAL YEAR: 2023,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 5 years,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Investigative journalism",POPULATION SERVED: Ethnic and racial groups; People of Latin American descent; Immigrants and migrants; Asylum seekers; Cross-border families; Immigrants; Internally displaced people; Refugees and displaced people; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",The Futuro Media Group,"New York City, NY United States","General support to produce and distribute multimedia journalism that explores the diversity of the American experience, with a focus on communities of color and Latino populations, and core support for institutional strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Systems reform; Publications; Public engagement and education; Advocacy,TRANSACTION TYPE: Cash grants,Kinder Foundation,"Houston, TX United States",Houston Local Information Initiative Inc,"Houston, TX United States",SUPPORT OF AN INDEPENDENT NEWS PUBLICATION IN HOUSTON,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,386,778",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Community Foundation of Greater Memphis Inc,"Memphis, TN United States",Memphis Fourth Estate Inc,"Memphis, TN United States",GENERAL OPERATIONAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,355,300",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",American Journalism Project Inc,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,301,250",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States","The GroundTruth Project, Inc.","Boston, MA United States",CULTURE & ARTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,150,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Adults; Families,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Addy Foundation,"Dallas, TX United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",EDUCATION/CULTURE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,144,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The American Independent Foundation,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,090,100",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Network-building and collaboration,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","Journalism Development Network, Inc.","Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,050,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults; Ethnic and racial groups,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Public engagement and education",TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",CITY BUREAU NFP,"Chicago, IL United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2023,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Pulitzer Center on Crisis Reporting,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Research; Publications; Public engagement and education,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Pulitzer Center on Crisis Reporting,WA United States,to support journalists and news media partners to report on Global Health research and development and innovation and participate in community engagement in the US.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Publications,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",KFF (THE HENRY J KAISER FAMILY FOUNDATION),"San Francisco, CA United States",To support Kaiser Health News,https://www.arnoldventures.org/grants-search?years=2023
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of Asian descent,SUPPORT STRATEGY: General support; Equal access,TRANSACTION TYPE: Cash grants,Mackenzie Scott,"Seattle, WA United States",Asian American Journalists Association,"Washington, DC United States",MacKenzie Scott made an unrestricted grant of $2 million to the Asian American Journalists Association. The AAJA's mission is to empower AAPI journalists and ensure equitable and accurate coverage of AAPI's.,https://www.facebook.com/profile/100064662456391/search/?q=mackenzie
"TOTAL AMOUNT:  $1,905,557",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",RPRG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,612,937",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,600,000",FISCAL YEAR: 2023,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 4 years,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Multiracial people; Ethnic and racial groups; People of African descent; American Indians; Alaskan Natives; People of Asian descent; Economically disadvantaged people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Muckrock Foundation Incorporated,"Boston, MA United States","Core support for MLK50: Justice Through Journalism, a Memphis-based nonprofit newsroom focused on accountability journalism at the intersection of power, poverty and policy, and core support for institutional strengthening for MLK50",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,556,695",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States","To launch, with Pro Publica, a co-branded investigative unit focused on the state of Texas",https://www.arnoldventures.org/grants-search?years=2023
"TOTAL AMOUNT:  $1,510,000",FISCAL YEAR: 2023,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 5 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Women and girls; Low-income people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States","Rockefeller Philanthropy Advisors, Inc.","New York City, NY United States","Core support for the International Fund for Public Interest Media to bridge to a new paradigm of journalism by improving the health of media ecosystems and promoting equality, social justice, and civic participation",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2023,PROGRAM AREA: U.S. Program,GRANT DURATION: 1 year,GRANT TITLE: Education Writers Association,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Education Writers Association,WA United States,to support programming for education journalists to increase the quantity of high-quality media coverage and better inform the public on barriers and opportunities to improve education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Deborah Joy Simon Charitable Foundation,"Carmel, IN United States",The American Independent Foundation,"Washington, DC United States",CONTRIBUTION TO SUPPORT COMMITMENT TO IMPACT JOURNALISM.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Houston Local Information Initiative Inc,"Houston, TX United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2023,PROGRAM AREA: Journalism,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",International Center for Journalists Inc,"Washington, DC United States","To better connectinternational journalists in order to develop new entrepreneurialopportunities, incorporate new technologiesand protect and advocate for journalists abroad",https://knightfoundation.org/grants/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2023,,GRANT DURATION: 2 years,GRANT TITLE: Continuing to support the Racial Equity in Journalism Fund,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Capacity-building and technical assistance; Systems reform,TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",BOREALIS PHILANTHROPY,"Minneapolis, MN United States","To support Borealis Philanthropy's Racial Equity in Journalism Fund, a collaborative fund that (1) provides financial assistance and continuing education to empower a strong, diverse, and independent media sector led by and for people of color and (2) increases civic engagement for communities of color by reaching them with vital, relevant information.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2023,PROGRAM AREA: Beyond Current Program Structure,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Chronicle of Philanthropy Inc,"Washington, DC United States","General support to educate, advance, and inform public discourse about the nonprofit sector and to provide news, insight, and professional development services to professionals involved in nonprofit and philanthropic enterprises",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Internships; Endowments,TRANSACTION TYPE: Cash grants,William Randolph Hearst Foundation,"New York City, NY United States",The Paley Center for Media,"New York City, NY United States",To establish the Hearst High School Media Internship Endowment,https://www.hearstfdn.org/grant-recipients-database
"TOTAL AMOUNT:  $1,416,724",FISCAL YEAR: 2023,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: The Bureau of Investigative Journalism,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Public engagement and education; Program support; Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",The Bureau of Investigative Journalism,"London, United Kingdom",to support The Bureau of Investigative Journalism global health reporting desk to maintain and grow its collaborative investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
