amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $2,957,589",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,886,312",FISCAL YEAR: 2020,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Fuller Project for International Reporting Inc.,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Families; Women and girls,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Program support; Program expansion",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Fuller Project for International Reporting Inc.,WA United States,"to continue the campaign The Warriors by Elle UK, and expand to France, Germany and US.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,756,896",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media democracy; Media literacy; Journalism, news and information; Investigative journalism; Citizen journalism",POPULATION SERVED: Adults; Economically disadvantaged people; At-risk youth; People with HIV/AIDS,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Susan Thompson Buffett Foundation,"Omaha, NE United States",KFF (THE HENRY J KAISER FAMILY FOUNDATION),"San Francisco, CA United States",Project support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",RPRG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Parents; Academics; Activists,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Craig Newmark Foundation,"San Francisco, CA United States",Markup News Inc,"New York City, NY United States",GENERAL PURPOSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2020,PROGRAM AREA: Poverty; Economic Opportunities,GRANT DURATION: 3 years,GRANT TITLE: Eviction in America,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students,"SUPPORT STRATEGY: Data and measurement systems; Policy, advocacy and systems reform; Program support; Public engagement and education; Research",TRANSACTION TYPE: Cash grants,The Jpb Foundation,"New York City, NY United States",The Trustees of Princeton University,"Princeton, NJ United States","The Eviction Lab produces public-facing tools and actionable data and analyses on the prevalence, causes, and consequences of housing displacement that sparks narrative and legislative change and informs policy design.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Telecommunications infrastructure; Telecommunications; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Technical assistance,TRANSACTION TYPE: Cash grants,The Leona M and Harry B Helmsley Charitable Trust,"New York City, NY United States",Geoscience Australia,"Symonston, Australia",Digital earth africa: phase 2 (operational build),http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,250,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States","Committee to Protect Journalists, Inc.","New York City, NY United States",TO SUPPORT THE LONG-TERM FUTURE OF THE COMMITTEE TO PROTECT JOURNALISTS BY INVESTING IN A PERMANENT HOME FOR THE ORGANIZATION AS WELL AS ITS CONTINUED SUSTAINABILITY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,135,647",FISCAL YEAR: 2020,PROGRAM AREA: Gender Equality,GRANT DURATION: 1 year,GRANT TITLE: Regents of the University of Minnesota,"SUBJECT:Telecommunications infrastructure; Telecommunications; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Data and measurement systems; Information technology,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",American Pharmacists Association Academy of Student Pharmacists,"Minneapolis, MN United States",to create a data browsing and extract system for the Performance and Monitoring Accountability 2020 survey and to promote the system to prospective users,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,048,084",FISCAL YEAR: 2020,,GRANT DURATION: 3 years,GRANT TITLE: Strengthening Youth Voice for Health Equity Across California,"SUBJECT:Journalism, news and information; Constituency journalism",POPULATION SERVED: Children and youth; Students,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,California Endowment,"Los Angeles, CA United States",Youth Radio,"Oakland, CA United States",To support skill building and collective impact among youth media hubs in California to support youth journalists in raising awareness of health equity issues.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2020,PROGRAM AREA: Gender Equality,GRANT DURATION: 1 year,GRANT TITLE: Urgent Action Fund - Africa,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Activists; Young women,SUPPORT STRATEGY: Advocacy; Equal access; Program support; Systems reform,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Urgent Action Fund - Africa,"Nairobi, Kenya","to bolster women’s economic opportunities and advance and recognize their economic rights through influencing gender sensitive policy shifts, advocacy, strategic communications and accountability in East Africa.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Impetus Foundation,"San Antonio, TX United States",Texas Public Radio,"San Antonio, TX United States",GENERAL CHARITABLE PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Telecommunications infrastructure; Telecommunications; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Omidyar Network Fund Inc,"Redwood City, CA United States","International Institute of Information Technology, Bangalore","Bengaluru, India","To support development, launch and continued oversight of the Modular Open Source Identity Platform",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2020,PROGRAM AREA: Media & Communications,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",American Journalism Project Inc,"Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2020,PROGRAM AREA: Beyond Current Program Structure,GRANT DURATION: 3 years,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States","Committee to Protect Journalists, Inc.","New York City, NY United States","General support for promoting press freedom worldwide, and defending the right of journalists to report the news safely and without fear of reprisal",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,950,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",American Journalism Project Inc,"Washington, DC United States",TO SUPPORT CIVIC NEWS ORGANIZATIONS' BUSINESS DEVELOPMENT.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,940,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Swanee Hunt Family Foundation,"Washington, DC United States",Hunt Alternatives,"Washington, DC United States","INCLUSIVE SECURITY, DEMAND ABOLITION, POLITICAL PARITY, PRIME MOVERS PROGRAMS",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,870,000",FISCAL YEAR: 2020,,GRANT DURATION: 4 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Capital and infrastructure; Program support",TRANSACTION TYPE: Cash grants,AGUA FUND INC,"Washington, DC United States",New Venture Fund,"Washington, DC United States",To support the Open Access Button in three key areas: to meet proven demand for tools that give libraries leverage in big deals; to compete with for-profit access tools; and to lower the cost of making papers open access,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,833,060",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",MARSHALL PROJECT INC,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,773,171",FISCAL YEAR: 2020,PROGRAM AREA: U.S. Program,GRANT DURATION: 1 year,GRANT TITLE: President And Fellows of Harvard College,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Individual development; Research and evaluation,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",President and Fellows of Harvard College,"Cambridge, United Kingdom",to support in-depth data capacity analysis of the IFS portfolio and piloting the use of strategic data fellows,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,755,600",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States","National Public Radio, Inc.","Washington, DC United States",Culture & arts,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,750,256",FISCAL YEAR: 2020,PROGRAM AREA: Global Growth & Opportunity,GRANT DURATION: 1 year,GRANT TITLE: British Broadcasting Corporation,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Economically disadvantaged people,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Program support; Public engagement and education",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",British Broadcasting Corporation,"London, United Kingdom","to support the development of solutions-journalism on sanitation challenges and innovation, in Sub-Saharan Africa, in order to increase awareness and knowledge of inclusive sanitation solutions among target audiences",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,735,477",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,724,918",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Jay and Jean Schottenstein Foundation,"COLUMBUS, OH United States",Mesorah Heritage Foundation,"Rahway, NJ United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,665,050",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Enlight Foundation,"Palo Alto, CA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States",Culture,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,664,250",FISCAL YEAR: 2020,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Solutions Journalism Network Inc.,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Low-income people; Victims of disaster,SUPPORT STRATEGY: Advocacy; Program support,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States",to support solutions journalism in Nigeria and Kenya using initial coverage of responses to the COVID‐19 crisis to create a strong foundation for broad‐based solutions reporting on a range of health and development issues,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,650,000",FISCAL YEAR: 2020,PROGRAM AREA: Printing & Publishing,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",MARSHALL PROJECT INC,"New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,601,452",FISCAL YEAR: 2020,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Open Cities Lab NPC,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people; Victims of disaster,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Open Cities Lab Npc,"DURBAN, Netherlands",to help journalists better cover the COVID-19 pandemic in Africa by building a data hub that will improve their ability to identify stories and use visualizations and interactives in their coverage,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,598,250",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism; Constituency journalism; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support; Publications; Program support,TRANSACTION TYPE: Cash grants,Philadelphia Foundation,"Philadelphia, PA United States",The Lenfest Institute for Journalism,"Philadelphia, PA United States","OPERATING SUPPORT, JOURNALISM REPORTING PROJECT",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,540,399",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Quitiplas Foundation,"Wilmington, DE United States",Independent World Television Inc,"Baltimore, MD United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2020,PROGRAM AREA: Strategic Communications,GRANT DURATION: 2 years,"GRANT TITLE: The Guardian Rights, Freedoms, and Dignity reporting (2021-2022)","SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Age groups; Ethnic and racial groups,SUPPORT STRATEGY: Program support; Continuing support,TRANSACTION TYPE: Cash grants,Humanity United,"San Francisco, CA United States",Guardian Org Foundation,"Washington, DC United States","To support a new Guardian reporting platform on rights, freedom, and dignity",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Fundraising,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Miami Foundation,"Miami, FL United States","TO RENEW SUPPORT FOR NEWSMATCH, A NATIONAL MATCHING FUND AND COMMUNICATIONS CAMPAIGN THAT PROMOTES GIVING TO JOURNALISM AND STRENGTHENS FUNDRAISING CAPABILITY FOR NONPROFIT NEWSROOMS.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2020,,GRANT DURATION: 3 years,,"SUBJECT:Media access and policy; Media democracy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Work status and occupations,SUPPORT STRATEGY: Research and evaluation; Advocacy; Litigation,TRANSACTION TYPE: Cash grants,Open Society Foundation,"New York City, NY United States","Committee to Protect Journalists, Inc.","New York City, NY United States",to support Committee to Protect Journalists' campaign for its Press Freedom Center,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
