amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $2,969,003",FISCAL YEAR: 2022,,GRANT DURATION: 3 years,"GRANT TITLE: Supporting the Data Across Sectors for Health's national program office, 2022-2025","SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Data and measurement systems; Program support,TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Illinois Public Health Institute,"Chicago, IL United States",To support Data Across Sectors for Health in lifting up models and to support governance and capabilities that promote sustainable community decision-making and leadership in data-sharing ecosystems at the community and state levels.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,718,469",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Sergey Brin Family Foundation C/o Pacific Foundation Services,"San Francisco, CA United States",Humboldt Area Foundation,"Bayside, CA United States",SUPPORT FOR THE CORE HUB,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,697,870",FISCAL YEAR: 2022,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Open Cities Lab NPC,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Data and measurement systems; Policy, advocacy and systems reform; Public engagement and education; Presentations and productions",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Open Cities Lab Npc,"DURBAN, Netherlands","to increase news storytellers’ capacity for data journalism about the SDGs by improving their ability to identify stories, visualizations, and interactives and to use data to strengthen health and development coverage",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,621,313",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",PUBINT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,600,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",More Perfect Union Foundation,"Alexandria, VA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,544,520",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Age groups; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",CalMatters,"Sacramento, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Parents; Academics; Activists,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Craig Newmark Foundation,"San Francisco, CA United States",Markup News Inc,"New York City, NY United States",General Purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2022,,GRANT DURATION: 9 months,GRANT TITLE: Democratic Practice,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Program support; Continuing support,TRANSACTION TYPE: Cash grants,Fund for Policy Reform Inc,"New York City, NY United States",Courier Newsroom,"Washington, DC United States","To support grantee's non-partisan journalism, which aims to further the common good and general welfare of U.S. communities by providing access to information",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Houston Endowment Inc,"Houston, TX United States",Houston Local Information Initiative Inc,"Houston, TX United States",General Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2022,PROGRAM AREA: New Work Exploration,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support; Publications,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",The Chicago Community Trust,"Chicago, IL United States",in support of a pooled fund for independent journalism in Chicago.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2022,PROGRAM AREA: Other,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of African descent,SUPPORT STRATEGY: Program support; Collections management and preservation; Public engagement and education,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Smithsonian National Museum of African American History and Culture,"Washington, DC United States",to donate the Foundation’s interest in the Johnson Publishing Archive (JPA).,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,500,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Systems reform; Publications; Public engagement and education; Advocacy,TRANSACTION TYPE: Cash grants,Kinder Foundation,"Houston, TX United States",Houston Local Information Initiative Inc,"Houston, TX United States",SUPPORT OF AN INDEPENDENT NEWS PUBLICATION IN HOUSTON,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,454,016",FISCAL YEAR: 2022,,GRANT DURATION: 3 years,GRANT TITLE: Leveraging the Associated Press' network to expand local health coverage and achieve significant impact on communities of all sizes and demographics,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Equal access; Program support,TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Associated Press,"New York City, NY United States",To (1) support the expansion of the Associated Press (AP) to report on public health and health equity and (2) leverage the AP's considerable network of reporters and bureaus to engage with local news organizations across the country to strengthen their overall public health reporting.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,450,594",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",RPRG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,425,500",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students; Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Vanguard Charitable,"Malvern, PA United States",Renew Democracy Initiative Inc,"New York City, NY United States",For recipient's exempt purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,365,150",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Chicago Community Trust,"Chicago, IL United States",Chicago Public Media Inc,"Chicago, IL United States",General operating support for WBEZ and Vocalo's journalism and public engagement programs.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,California Community Foundation,"Los Angeles, CA United States",American Journalism Project Inc,"Washington, DC United States",CIVIC ENGAGEMENT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2022,PROGRAM AREA: Journalism and Media,GRANT DURATION: 4 years,,"SUBJECT:Media Content and Platforms; Television; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Presentations and productions,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",WGBH Educational Foundation,"Boston, MA United States",in support of FRONTLINE.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Quadrivium,"New York City, NY United States",Associated Press,"New York City, NY United States",PURSUANT TO SPECIAL PURPOSE GRANT WITH EXPENDITURE RESPOSIBILITY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students,SUPPORT STRATEGY: Recordings and broadcasts,TRANSACTION TYPE: Cash grants,Robert R Mccormick Foundation,"Chicago, IL United States",Illinois Press Foundation Inc,"Springfield, IL United States",FOR CAPITOL NEWS ILLINOIS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2022,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of African descent,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Capital B News Inc,"New York City, NY United States","General support to create accessible, trustworthy journalism by and for Black Americans that empowers and informs",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,950,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",American Journalism Project Inc,"Washington, DC United States",TO SUPPORT CIVIC NEWS ORGANIZATIONS' BUSINESS DEVELOPMENT.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,856,050",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","National Public Radio, Inc.","Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,845,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Swanee Hunt Family Foundation,"Washington, DC United States",Hunt Alternatives,"Washington, DC United States","INCLUSIVE SECURITY, DEMAND ABOLITION, POLITICAL PARITY, PRIME MOVERS PROGRAMS",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,839,180",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support; General support,TRANSACTION TYPE: Cash grants,Ecmc Foundation,"Minneapolis, MN United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,838,665",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The Lenfest Institute for Journalism,"Philadelphia, PA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,830,789",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Network-building and collaboration; Public engagement and education; Equal access; Ethics and accountability; Program support,TRANSACTION TYPE: Cash grants,Bhp Foundation,"Washington, DC United States",Open Contracting Partnershipd,"New York City, NY United States","The Project will support the adoption of Open Contracting to promote accessible, user-friendly open data along the entire deal flow of public contracts in 15 resource rich countries.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,797,281",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,765,400",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",National Trust for Local News,"ENGLEWOOD, CO United States","(O) = $1,765,400.00",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,750,000",FISCAL YEAR: 2022,PROGRAM AREA: Beyond Current Program Structure,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students; Journalism,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",The Howard University,"Washington, DC United States",Core support for the Center for Journalism and Democracy to help strengthen America’s democracy by training and supporting generations of Black journalists in the field of investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,720,680",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Earned income; Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,American Journalism Project Inc,"Washington, DC United States",Houston Local News Initiative,"Houston, TX United States",TO GROW AND DIVERSIFY REVENUE AND TO ADVANCE TOWARD A SUSTAINABLE MODEL FOR LOCAL NEWS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
